id,name,totalUnits,residentsCount,lat,lng
162,45 E 89th St,252,49,40.7829632,-73.9566986
163,525 W 52nd,339,89,40.7667123,-73.9920599
164,210 W 70th St,180,38,40.7775253,-73.9834558
165,257 Gold St,377,133,40.6966919,-73.9829996
166,40 Broad St,152,46,40.7060275,-74.0117654
167,222 E 34th St,481,92,40.7449717,-73.9770424
168,320 W 38th St,714,363,40.7550976,-73.9927835
170,888 Main St,500,220,40.7687205,-73.9439269
173,250 S End Ave,110,20,40.7097702,-74.0162823
176,66-15 Thornton Place,120,27,40.7232542,-73.8576166
177,10 Little W St,111,14,40.7055917,-74.0172159
184,20 Broad St,533,118,40.7068758,-74.0112648
185,Columbus Square,332,400,40.7946801,-73.9666433
186,100 Maiden Ln,344,201,40.7066745,-74.0071976
187,41-21 24th St,88,46,40.752044,-73.940069
188,8 Spruce St,809,361,40.7110926,-74.0056438
190,3 Court Sq,764,467,40.7478785,-73.9444755
191,116 John St,420,73,40.7075799,-74.0057804
192,322 Menahan St,13,13,40.7006784,-73.9143276
193,555 10th Ave,593,271,40.75893,-73.9963346
194,125 Court St,292,38,40.6899773,-73.9919901
195,327 St Nicholas Ave,68,23,40.8118433,-73.9521009
196,100 Aldrich St,208,14,40.87077,-73.8321903
197,200 W 70th St,191,37,40.7773637,-73.9830336
199,401 E 60th St,218,24,40.7603031,-73.9610497
200,5241 Center Blvd,361,287,40.741387,-73.96016
202,440 E 79th,220,27,40.7715364,-73.9513203
203,100 Grand Cove Way,53,11,40.8230606,-73.9750979
204,90 Washington St,379,188,40.7080189,-74.0150054
205,54 Noll St,462,218,40.7004678,-73.9336493
206,50 Bridge Park,118,17,40.7031046,-73.9848276
207,43-23 Colden St,323,49,40.7530344,-73.8244049
209,223 2nd Ave,65,42,40.7322325,-73.9853739
229,530 W 30th st,175,39,40.7524107,-74.0024305
230,626 1st Ave,789,258,40.744775,-73.9725467
231,21 W End Ave,615,125,40.7729122,-73.9906177
232,50 E 28th St,262,42,40.7431731,-73.9846151
234,222 E 44th St,429,100,40.7513607,-73.9726772
235,175 W 60th St,258,87,40.7711766,-73.9867219
236,515 W 36th St,242,131,40.7563739,-73.9990711
237,222 W 80st,68,19,40.7841615,-73.9790358
239,435 W 31st St,762,199,40.7521736,-73.9989276
240,30 Morningside Dr,138,53,40.8043162,-73.9605819
241,42 W 33rd St,204,44,40.748396,-73.987181
242,152 East 87th Street,65,11,40.7798481,-73.9549226
243,600 W 58th St,55,24,40.7708947,-73.9917793
244,1065 2nd Ave,164,30,40.7589491,-73.9657952
245,300 Ashland Pl,328,116,40.686236,-73.9783039
246,145 Clinton Street,204,71,40.7166713,-73.9864407
247,180 Water St,573,267,40.7070676,-74.0054773
248,411 W 35th St,171,75,40.754601,-73.9966387
249,515 W 38th St,265,79,40.7576431,-73.9979315
250,507 W 28th St,367,111,40.7513464,-74.0025215
251,535 W 43rd St,274,55,40.7612557,-73.9967362
252,606 W 57th St,1017,765,40.7704216,-73.9925485
253,19 Dutch St,480,316,40.7098279,-74.0072893
254,250 Ashland Pl,592,319,40.6878154,-73.9788248
255,125 Delancey St,195,58,40.7182455,-73.9879429
257,445 W 35th St,119,25,40.7550643,-73.9978137
258,501 East 74th Street,83,16,40.768197,-73.9525724
259,111 Lawrence St,492,172,40.6928565,-73.9859924
260,34 Berry St,142,60,40.7212202,-73.9564559
261,363 Bond St,256,104,40.6780383,-73.9902571
262,343 Gold St,710,97,40.6941113,-73.9828707
263,626 Flatbush Ave,197,65,40.6576369,-73.9610322
264,440 Kent Ave,105,54,40.7092689,-73.969376
266,120 York St,135,52,40.7163541,-74.0386985
267,15 Cliff St,153,77,40.7084008,-74.0056138
268,50 Christopher Columbus,448,141,40.7187243,-74.0392659
269,160 Parkside Ave,159,32,40.6539498,-73.9636496
270,1 Columbus Pl,721,222,40.7691679,-73.9858571
271,350 W 43rd,48,46,40.7585475,-73.991228
274,Silver Towers,2318,366,40.7608191,-73.9994156
275,425 Washington Blvd,455,196,40.7224862,-74.0367164
276,333 River St,460,233,40.7404379,-74.0271738
277,2 12th Street,460,48,40.7508262,-74.0244874
278,1 14th Street,130,57,40.7527336,-74.0239986
279,675 Monmouth St,260,87,40.7344594,-74.0478369
280,273 16th St,517,101,40.7329652,-74.0450398
281,33 Hudson St,622,115,40.7132165,-74.0356132
282,160 1st St,150,43,40.7217206,-74.0402298
283,205 Hudson St,151,71,40.7387026,-74.0290742
284,142-144 Steuben St,36,32,40.719747,-74.0393035
285,70 Christopher Columbus Dr,533,90,40.7190513,-74.0404198
286,90 Christopher Columbus Dr,644,163,40.7194779,-74.0408907
287,9 Regent St,140,43,40.7150885,-74.0464037
